ImageName,Label
PathID:48_FigureID:539_IsCollision:0.jpg,48
PathID:38_FigureID:690_IsCollision:0.jpg,38
PathID:78_FigureID:91_IsCollision:0.jpg,78
PathID:60_FigureID:321_IsCollision:0.jpg,60
PathID:3_FigureID:642_IsCollision:0.jpg,3
PathID:5_FigureID:987_IsCollision:0.jpg,5
PathID:41_FigureID:698_IsCollision:0.jpg,41
PathID:39_FigureID:997_IsCollision:0.jpg,39
PathID:8_FigureID:432_IsCollision:0.jpg,8
PathID:32_FigureID:448_IsCollision:0.jpg,32
PathID:45_FigureID:54_IsCollision:0.jpg,45
PathID:86_FigureID:962_IsCollision:0.jpg,86
PathID:0_FigureID:695_IsCollision:0.jpg,0
PathID:29_FigureID:855_IsCollision:0.jpg,29
PathID:21_FigureID:758_IsCollision:0.jpg,21
PathID:31_FigureID:904_IsCollision:0.jpg,31
PathID:60_FigureID:729_IsCollision:0.jpg,60
PathID:23_FigureID:525_IsCollision:0.jpg,23
PathID:22_FigureID:200_IsCollision:0.jpg,22
PathID:43_FigureID:561_IsCollision:0.jpg,43
PathID:84_FigureID:442_IsCollision:0.jpg,84
PathID:83_FigureID:918_IsCollision:0.jpg,83
PathID:45_FigureID:637_IsCollision:0.jpg,45
PathID:31_FigureID:617_IsCollision:0.jpg,31
PathID:87_FigureID:943_IsCollision:0.jpg,87
PathID:24_FigureID:955_IsCollision:0.jpg,24
PathID:34_FigureID:164_IsCollision:0.jpg,34
PathID:27_FigureID:198_IsCollision:0.jpg,27
PathID:84_FigureID:136_IsCollision:0.jpg,84
PathID:31_FigureID:86_IsCollision:0.jpg,31
PathID:74_FigureID:887_IsCollision:0.jpg,74
PathID:36_FigureID:762_IsCollision:0.jpg,36
PathID:42_FigureID:557_IsCollision:0.jpg,42
PathID:74_FigureID:628_IsCollision:0.jpg,74
PathID:23_FigureID:562_IsCollision:0.jpg,23
PathID:66_FigureID:530_IsCollision:0.jpg,66
PathID:3_FigureID:178_IsCollision:0.jpg,3
PathID:38_FigureID:282_IsCollision:0.jpg,38
PathID:16_FigureID:45_IsCollision:0.jpg,16
PathID:52_FigureID:564_IsCollision:0.jpg,52
PathID:63_FigureID:398_IsCollision:0.jpg,63
PathID:80_FigureID:642_IsCollision:0.jpg,80
PathID:7_FigureID:880_IsCollision:0.jpg,7
PathID:80_FigureID:16_IsCollision:0.jpg,80
PathID:54_FigureID:587_IsCollision:0.jpg,54
PathID:41_FigureID:911_IsCollision:0.jpg,41
PathID:4_FigureID:657_IsCollision:0.jpg,4
PathID:25_FigureID:156_IsCollision:0.jpg,25
PathID:88_FigureID:998_IsCollision:0.jpg,88
PathID:21_FigureID:207_IsCollision:0.jpg,21
PathID:71_FigureID:607_IsCollision:0.jpg,71
PathID:3_FigureID:586_IsCollision:0.jpg,3
PathID:84_FigureID:405_IsCollision:0.jpg,84
PathID:17_FigureID:833_IsCollision:0.jpg,17
PathID:63_FigureID:11_IsCollision:0.jpg,63
PathID:65_FigureID:459_IsCollision:0.jpg,65
PathID:80_FigureID:448_IsCollision:0.jpg,80
PathID:24_FigureID:987_IsCollision:0.jpg,24
PathID:86_FigureID:761_IsCollision:0.jpg,86
PathID:75_FigureID:640_IsCollision:0.jpg,75
PathID:21_FigureID:324_IsCollision:0.jpg,21
PathID:48_FigureID:766_IsCollision:0.jpg,48
PathID:21_FigureID:443_IsCollision:0.jpg,21
PathID:72_FigureID:330_IsCollision:0.jpg,72
PathID:86_FigureID:108_IsCollision:0.jpg,86
PathID:30_FigureID:593_IsCollision:0.jpg,30
PathID:75_FigureID:20_IsCollision:0.jpg,75
PathID:18_FigureID:50_IsCollision:0.jpg,18
PathID:85_FigureID:642_IsCollision:0.jpg,85
PathID:40_FigureID:766_IsCollision:0.jpg,40
PathID:73_FigureID:104_IsCollision:0.jpg,73
PathID:2_FigureID:837_IsCollision:0.jpg,2
PathID:41_FigureID:109_IsCollision:0.jpg,41
PathID:77_FigureID:746_IsCollision:0.jpg,77
PathID:7_FigureID:709_IsCollision:0.jpg,7
PathID:67_FigureID:44_IsCollision:0.jpg,67
PathID:64_FigureID:133_IsCollision:0.jpg,64
PathID:55_FigureID:725_IsCollision:0.jpg,55
PathID:75_FigureID:373_IsCollision:0.jpg,75
PathID:81_FigureID:275_IsCollision:0.jpg,81
PathID:51_FigureID:785_IsCollision:0.jpg,51
PathID:49_FigureID:475_IsCollision:0.jpg,49
PathID:89_FigureID:782_IsCollision:0.jpg,89
PathID:72_FigureID:746_IsCollision:0.jpg,72
PathID:35_FigureID:702_IsCollision:0.jpg,35
PathID:60_FigureID:530_IsCollision:0.jpg,60
PathID:17_FigureID:655_IsCollision:0.jpg,17
PathID:9_FigureID:200_IsCollision:0.jpg,9
PathID:32_FigureID:440_IsCollision:0.jpg,32
PathID:87_FigureID:151_IsCollision:0.jpg,87
PathID:73_FigureID:788_IsCollision:0.jpg,73
PathID:41_FigureID:266_IsCollision:0.jpg,41
PathID:32_FigureID:652_IsCollision:0.jpg,32
PathID:86_FigureID:144_IsCollision:0.jpg,86
PathID:39_FigureID:971_IsCollision:0.jpg,39
PathID:32_FigureID:536_IsCollision:0.jpg,32
PathID:28_FigureID:156_IsCollision:0.jpg,28
PathID:52_FigureID:268_IsCollision:0.jpg,52
PathID:16_FigureID:622_IsCollision:0.jpg,16
PathID:74_FigureID:278_IsCollision:0.jpg,74
PathID:85_FigureID:891_IsCollision:0.jpg,85
PathID:33_FigureID:542_IsCollision:0.jpg,33
PathID:65_FigureID:797_IsCollision:0.jpg,65
PathID:33_FigureID:801_IsCollision:0.jpg,33
PathID:62_FigureID:400_IsCollision:0.jpg,62
PathID:34_FigureID:424_IsCollision:0.jpg,34
PathID:17_FigureID:992_IsCollision:0.jpg,17
PathID:18_FigureID:735_IsCollision:0.jpg,18
PathID:88_FigureID:340_IsCollision:0.jpg,88
PathID:84_FigureID:362_IsCollision:0.jpg,84
PathID:33_FigureID:932_IsCollision:0.jpg,33
PathID:60_FigureID:879_IsCollision:0.jpg,60
PathID:35_FigureID:398_IsCollision:0.jpg,35
PathID:14_FigureID:806_IsCollision:0.jpg,14
PathID:64_FigureID:109_IsCollision:0.jpg,64
PathID:39_FigureID:564_IsCollision:0.jpg,39
PathID:10_FigureID:757_IsCollision:0.jpg,10
PathID:48_FigureID:375_IsCollision:0.jpg,48
PathID:42_FigureID:418_IsCollision:0.jpg,42
PathID:46_FigureID:376_IsCollision:0.jpg,46
PathID:87_FigureID:77_IsCollision:0.jpg,87
PathID:15_FigureID:249_IsCollision:0.jpg,15
