ImageName,Label
c_PathID:0_FigureID:89_IsCollision:0.jpg,c_0
c_PathID:0_FigureID:61_IsCollision:0.jpg,c_0
c_PathID:9_FigureID:5_IsCollision:0.jpg,c_9
r_PathID:5_FigureID:94_IsCollision:0.jpg,r_5
c_PathID:2_FigureID:5_IsCollision:0.jpg,c_2
t_PathID:3_FigureID:12_IsCollision:0.jpg,t_3
r_PathID:1_FigureID:63_IsCollision:0.jpg,r_1
t_PathID:1_FigureID:63_IsCollision:0.jpg,t_1
t_PathID:1_FigureID:5_IsCollision:0.jpg,t_1
t_PathID:5_FigureID:24_IsCollision:0.jpg,t_5
r_PathID:0_FigureID:18_IsCollision:0.jpg,r_0
c_PathID:3_FigureID:86_IsCollision:0.jpg,c_3
t_PathID:1_FigureID:3_IsCollision:0.jpg,t_1
c_PathID:7_FigureID:22_IsCollision:0.jpg,c_7
t_PathID:5_FigureID:41_IsCollision:0.jpg,t_5
t_PathID:8_FigureID:21_IsCollision:0.jpg,t_8
t_PathID:1_FigureID:6_IsCollision:0.jpg,t_1
t_PathID:4_FigureID:9_IsCollision:0.jpg,t_4
r_PathID:8_FigureID:86_IsCollision:0.jpg,r_8
c_PathID:5_FigureID:39_IsCollision:0.jpg,c_5
r_PathID:4_FigureID:18_IsCollision:0.jpg,r_4
c_PathID:0_FigureID:79_IsCollision:0.jpg,c_0
c_PathID:2_FigureID:88_IsCollision:0.jpg,c_2
r_PathID:1_FigureID:12_IsCollision:0.jpg,r_1
c_PathID:0_FigureID:7_IsCollision:0.jpg,c_0
c_PathID:1_FigureID:28_IsCollision:0.jpg,c_1
r_PathID:6_FigureID:56_IsCollision:0.jpg,r_6
t_PathID:7_FigureID:26_IsCollision:0.jpg,t_7
t_PathID:9_FigureID:77_IsCollision:0.jpg,t_9
c_PathID:7_FigureID:57_IsCollision:0.jpg,c_7
r_PathID:9_FigureID:62_IsCollision:0.jpg,r_9
c_PathID:6_FigureID:2_IsCollision:0.jpg,c_6
r_PathID:1_FigureID:31_IsCollision:0.jpg,r_1
t_PathID:8_FigureID:52_IsCollision:0.jpg,t_8
c_PathID:6_FigureID:7_IsCollision:0.jpg,c_6
c_PathID:6_FigureID:64_IsCollision:0.jpg,c_6
r_PathID:0_FigureID:8_IsCollision:0.jpg,r_0
t_PathID:1_FigureID:75_IsCollision:0.jpg,t_1
r_PathID:6_FigureID:94_IsCollision:0.jpg,r_6
r_PathID:2_FigureID:77_IsCollision:0.jpg,r_2
c_PathID:5_FigureID:61_IsCollision:0.jpg,c_5
t_PathID:8_FigureID:95_IsCollision:0.jpg,t_8
t_PathID:1_FigureID:13_IsCollision:0.jpg,t_1
t_PathID:9_FigureID:10_IsCollision:0.jpg,t_9
t_PathID:1_FigureID:42_IsCollision:0.jpg,t_1
t_PathID:7_FigureID:99_IsCollision:0.jpg,t_7
c_PathID:9_FigureID:100_IsCollision:0.jpg,c_9
r_PathID:7_FigureID:8_IsCollision:0.jpg,r_7
t_PathID:0_FigureID:22_IsCollision:0.jpg,t_0
t_PathID:2_FigureID:27_IsCollision:0.jpg,t_2
c_PathID:9_FigureID:70_IsCollision:0.jpg,c_9
t_PathID:1_FigureID:18_IsCollision:0.jpg,t_1
